sorting_algorithm,num_trials,sequence_type,size,time,avg_time,standard_deviation
heap_sort,10,increasing,50000,2025-03-22 13:43:09,0.24147529602050782,0.0073985942983766095
heap_sort,10,decreasing,100,2025-03-22 13:43:09,0.0002004384994506836,0.00040087717260345844
heap_sort,10,decreasing,500,2025-03-22 13:43:09,0.001328754425048828,0.000502681494708974
heap_sort,10,decreasing,1000,2025-03-22 13:43:09,0.0026976823806762694,0.0004972085045511353
heap_sort,10,decreasing,3000,2025-03-22 13:43:09,0.010434985160827637,0.0005879865758219097
heap_sort,10,decreasing,5000,2025-03-22 13:43:09,0.01982884407043457,0.0014166768966901928
heap_sort,10,decreasing,7000,2025-03-22 13:43:10,0.028786468505859374,0.0011125812933625231
heap_sort,10,decreasing,10000,2025-03-22 13:43:10,0.04649472236633301,0.0035131268537292276
heap_sort,10,decreasing,20000,2025-03-22 13:43:11,0.10106363296508789,0.003931537695519976
heap_sort,10,decreasing,30000,2025-03-22 13:43:13,0.15402698516845703,0.005055963180987706
heap_sort,10,decreasing,40000,2025-03-22 13:43:16,0.2096169948577881,0.003814573894234286
heap_sort,10,decreasing,50000,2025-03-22 13:43:19,0.2664031028747559,0.004868554917186611
heap_sort,10,a_shaped,100,2025-03-22 13:43:19,0.00010063648223876954,0.0003019094467163086
heap_sort,10,a_shaped,500,2025-03-22 13:43:19,0.0010169744491577148,3.846619819791849e-05
heap_sort,10,a_shaped,1000,2025-03-22 13:43:19,0.0025442838668823242,0.0005157609688747276
heap_sort,10,a_shaped,3000,2025-03-22 13:43:19,0.009601950645446777,0.0006604372312207803
heap_sort,10,a_shaped,5000,2025-03-22 13:43:19,0.017420411109924316,0.0002482403723749027
heap_sort,10,a_shaped,7000,2025-03-22 13:43:19,0.024434161186218262,0.0006291079449391684
heap_sort,10,a_shaped,10000,2025-03-22 13:43:20,0.03864445686340332,0.0014852293688349795
heap_sort,10,a_shaped,20000,2025-03-22 13:43:21,0.0892181158065796,0.006485765761205681
heap_sort,10,a_shaped,30000,2025-03-22 13:43:22,0.13891339302062988,0.004447638772742652
heap_sort,10,a_shaped,40000,2025-03-22 13:43:24,0.18905463218688964,0.0038214470724902386
heap_sort,10,a_shaped,50000,2025-03-22 13:43:27,0.24820141792297362,0.0069974395127520425
heap_sort,10,v_shaped,100,2025-03-22 13:43:27,0.0002582550048828125,0.0005253876633304705
heap_sort,10,v_shaped,500,2025-03-22 13:43:27,0.001320958137512207,0.00047581937471326936
heap_sort,10,v_shaped,1000,2025-03-22 13:43:27,0.002477574348449707,0.0004891262766873644
heap_sort,10,v_shaped,3000,2025-03-22 13:43:27,0.009532308578491211,0.0003905304360294112
heap_sort,10,v_shaped,5000,2025-03-22 13:43:28,0.018636107444763184,0.0018187259334731217
heap_sort,10,v_shaped,7000,2025-03-22 13:43:28,0.0272723913192749,0.0008417237247964679
heap_sort,10,v_shaped,10000,2025-03-22 13:43:28,0.041302943229675294,0.0024040053654444883
heap_sort,10,v_shaped,20000,2025-03-22 13:43:29,0.09104084968566895,0.003144148858687231
heap_sort,10,v_shaped,30000,2025-03-22 13:43:31,0.14403624534606935,0.004070853495817846
heap_sort,10,v_shaped,40000,2025-03-22 13:43:33,0.20687484741210938,0.01029963399568755
heap_sort,10,v_shaped,50000,2025-03-22 13:43:36,0.25681869983673095,0.009697720477751698
quick_sort_iteracyjnie,10,random,100,2025-03-18 18:56:51,0.0001994609832763672,0.00001994609832764
quick_sort_iteracyjnie,10,random,500,2025-03-18 18:56:51,0.0005564212799072266,0.00005564212799072
quick_sort_iteracyjnie,10,random,1000,2025-03-18 18:56:51,0.0010969877243041993,0.00010969877243042
quick_sort_iteracyjnie,10,random,3000,2025-03-18 18:56:52,0.003989267349243164,0.00039892673492432
quick_sort_iteracyjnie,10,random,5000,2025-03-18 18:56:52,0.006711268424987793,0.00067112684249878
quick_sort_iteracyjnie,10,random,7000,2025-03-18 18:56:52,0.010686421394348144,0.00106864213943481
quick_sort_iteracyjnie,10,random,10000,2025-03-18 18:56:52,0.014363503456115723,0.00143635034561157
quick_sort_iteracyjnie,10,random,20000,2025-03-18 18:56:52,0.029602575302124023,0.00296025753021240
quick_sort_iteracyjnie,10,random,30000,2025-03-18 18:56:53,0.04707193374633789,0.00470719337463379
quick_sort_iteracyjnie,10,random,40000,2025-03-18 18:56:54,0.06176712512969971,0.00617671251296997
quick_sort_iteracyjnie,10,random,50000,2025-03-18 18:56:55,0.07875568866729736,0.00787556886672974
quick_sort_iteracyjnie,10,increasing,100,2025-03-18 18:56:55,0.0002991437911987305,0.00005982875823974
quick_sort_iteracyjnie,10,increasing,500,2025-03-18 18:56:55,0.007154154777526856,0.00143083095550537
quick_sort_iteracyjnie,10,increasing,1000,2025-03-18 18:56:55,0.028568553924560546,0.00571371078491211
quick_sort_iteracyjnie,10,increasing,3000,2025-03-18 18:56:58,0.27013430595397947,0.05402686119079590
quick_sort_iteracyjnie,10,increasing,5000,2025-03-18 18:57:05,0.7439802169799805,0.14879604339599610
quick_sort_iteracyjnie,10,increasing,7000,2025-03-18 18:57:21,1.5119652509689332,0.30239305019378664
quick_sort_iteracyjnie,10,increasing,10000,2025-03-18 18:57:52,3.172582197189331,0.63451643943786620
quick_sort_iteracyjnie,10,increasing,20000,2025-03-18 19:00:07,13.453696012496948,2.69073920249938960
quick_sort_iteracyjnie,10,increasing,30000,2025-03-18 19:05:11,30.33874011039734,6.06774802207946800
quick_sort_iteracyjnie,10,increasing,40000,2025-03-18 19:14:05,53.38741133213043,10.67748226642608600
quick_sort_iteracyjnie,10,increasing,50000,2025-03-18 19:28:20,85.49384996891021,17.09876999378204200
quick_sort_iteracyjnie,10,decreasing,100,2025-03-18 19:28:20,0.0003405094146728516,0.00010215282440186
quick_sort_iteracyjnie,10,decreasing,500,2025-03-18 19:28:20,0.010241007804870606,0.00307230234146118
quick_sort_iteracyjnie,10,decreasing,1000,2025-03-18 19:28:21,0.043925809860229495,0.01317774295806885
quick_sort_iteracyjnie,10,decreasing,3000,2025-03-18 19:28:25,0.44233429431915283,0.13270028829574585
quick_sort_iteracyjnie,10,decreasing,5000,2025-03-18 19:28:37,1.2474725246429443,0.37424175739288330
quick_sort_iteracyjnie,10,decreasing,7000,2025-03-18 19:29:01,2.382481408119202,0.71474442243576060
quick_sort_iteracyjnie,10,decreasing,10000,2025-03-18 19:29:54,5.286013865470887,1.58580415964126600
quick_sort_iteracyjnie,10,decreasing,20000,2025-03-18 19:33:14,19.929343104362488,5.97880293130874600
quick_sort_iteracyjnie,10,decreasing,30000,2025-03-18 19:40:21,42.74182064533234,12.82254619359970200
quick_sort_iteracyjnie,10,decreasing,40000,2025-03-18 19:53:31,78.9727394580841,23.69182183742522800
quick_sort_iteracyjnie,10,decreasing,50000,2025-03-18 20:13:32,120.00367681980133,36.00110304594040000
quick_sort_iteracyjnie,10,a_shaped,100,2025-03-18 20:13:32,0.00031332969665527345,0.0000469995
quick_sort_iteracyjnie,10,a_shaped,500,2025-03-18 20:13:32,0.004518032073974609,0.00067770481109619
quick_sort_iteracyjnie,10,a_shaped,1000,2025-03-18 20:13:32,0.019406986236572266,0.00291104793548584
quick_sort_iteracyjnie,10,a_shaped,3000,2025-03-18 20:13:34,0.1934601068496704,0.02901901602745056
quick_sort_iteracyjnie,10,a_shaped,5000,2025-03-18 20:13:39,0.5505077362060546,0.0825761604
quick_sort_iteracyjnie,10,a_shaped,7000,2025-03-18 20:13:50,1.0976453304290772,0.1646467996
quick_sort_iteracyjnie,10,a_shaped,10000,2025-03-18 20:14:13,2.2657120704650877,0.3398568106
quick_sort_iteracyjnie,10,a_shaped,20000,2025-03-18 20:15:46,9.291054105758667,1.3936581159
quick_sort_iteracyjnie,10,a_shaped,30000,2025-03-18 20:19:14,20.76022102832794,3.1140331542
quick_sort_iteracyjnie,10,a_shaped,40000,2025-03-18 20:25:33,37.86429193019867,5.6796437895
quick_sort_iteracyjnie,10,a_shaped,50000,2025-03-18 20:35:30,59.6579984664917,8.9486997699
quick_sort_iteracyjnie,10,v_shaped,100,2025-03-18 20:35:30,0.00020084381103515624,0.0000200844
quick_sort_iteracyjnie,10,v_shaped,500,2025-03-18 20:35:30,0.001564335823059082,0.0001564336
quick_sort_iteracyjnie,10,v_shaped,1000,2025-03-18 20:35:30,0.0056264400482177734,0.0005626440
quick_sort_iteracyjnie,10,v_shaped,3000,2025-03-18 20:35:30,0.04630589485168457,0.0046305895
quick_sort_iteracyjnie,10,v_shaped,5000,2025-03-18 20:35:32,0.13252670764923097,0.0132526708
quick_sort_iteracyjnie,10,v_shaped,7000,2025-03-18 20:35:34,0.26110663414001467,0.0261106634
quick_sort_iteracyjnie,10,v_shaped,10000,2025-03-18 20:35:39,0.4794738292694092,0.0479473829
quick_sort_iteracyjnie,10,v_shaped,20000,2025-03-18 20:36:01,2.1841302633285524,0.2184130263
quick_sort_iteracyjnie,10,v_shaped,30000,2025-03-18 20:36:47,4.571967840194702,0.4571967840
quick_sort_iteracyjnie,10,v_shaped,40000,2025-03-18 20:38:21,9.354706048965454,0.9354706049
quick_sort_iteracyjnie,10,v_shaped,50000,2025-03-18 20:40:32,13.123114562034607,1.3123114562
quick_sort,10,random,100,2025-03-18 23:39:44,0.00022125244140625,0.0000221252
quick_sort,10,random,500,2025-03-18 23:39:44,0.003136563301086426,0.0003136563
quick_sort,10,random,1000,2025-03-18 23:39:44,0.013271284103393555,0.0013271284
quick_sort,10,random,3000,2025-03-18 23:39:45,0.10044033527374267,0.0100440335
quick_sort,10,random,5000,2025-03-18 23:39:47,0.14403467178344725,0.0144034672
quick_sort,10,random,7000,2025-03-18 23:39:48,0.17474181652069093,0.0174741817
quick_sort,10,random,10000,2025-03-18 23:40:00,1.1401155471801758,0.1140115547
